cell_type	gene_symbol	ensembl_id	rank	score	pct_expressed	pct_others	p_val_adj	gene_biotype
Amygdala excitatory neuron	TRIM54	ENSG00000138100	1	3.59727006686026	0.452	0.041	0.0	protein_coding
Amygdala excitatory neuron	DNAJC5G	ENSG00000163793	2	3.56442561403327	0.37	0.034	0.0	protein_coding
Amygdala excitatory neuron	TG	ENSG00000042832	3	3.52697978658694	0.522	0.066	0.0	protein_coding
Amygdala excitatory neuron	PTGER3	ENSG00000050628	4	3.49610032113809	0.532	0.065	0.0	protein_coding
Amygdala excitatory neuron	MOXD1	ENSG00000079931	5	3.41147252428483	0.565	0.091	0.0	protein_coding
Amygdala excitatory neuron	SLC30A3	ENSG00000115194	6	3.03071108572693	0.685	0.09	0.0	protein_coding
Amygdala excitatory neuron	GLRA3	ENSG00000145451	7	2.91093927453383	0.744	0.126	0.0	protein_coding
Amygdala excitatory neuron	ENSG00000286015	ENSG00000286015	8	2.8945130949091	0.414	0.064	0.0	protein_coding
Amygdala excitatory neuron	CNGB1	ENSG00000070729	9	2.81743859896656	0.553	0.081	0.0	protein_coding
Amygdala excitatory neuron	IQCJ	ENSG00000214216	10	2.76340498638228	0.923	0.264	0.0	protein_coding
Amygdala excitatory neuron	MCHR2	ENSG00000152034	11	2.75940256066938	0.364	0.052	0.0	protein_coding
Amygdala excitatory neuron	M1AP	ENSG00000159374	12	2.74212337654256	0.286	0.038	7.253859494428281e-291	protein_coding
Amygdala excitatory neuron	TMEM244	ENSG00000203756	13	2.71668383855951	0.314	0.035	0.0	protein_coding
Amygdala excitatory neuron	SLC22A9	ENSG00000149742	14	2.64711570323772	0.258	0.04	2.72372614097564e-223	protein_coding
Amygdala excitatory neuron	CRHR1	ENSG00000120088	15	2.63908362384706	0.622	0.114	0.0	protein_coding
Amygdala excitatory neuron	OPRK1	ENSG00000082556	16	2.59193383223289	0.438	0.059	0.0	protein_coding
Amygdala excitatory neuron	KCNG1	ENSG00000026559	17	2.58361992802877	0.452	0.066	0.0	protein_coding
Amygdala excitatory neuron	KCNG3	ENSG00000171126	18	2.56169249225175	0.572	0.102	0.0	protein_coding
Amygdala excitatory neuron	SLC22A10	ENSG00000184999	19	2.55853114116008	0.649	0.14	0.0	protein_coding
Amygdala excitatory neuron	PNMA5	ENSG00000198883	20	2.51699419215194	0.343	0.047	0.0	protein_coding
Amygdala excitatory neuron	ZNF831	ENSG00000124203	21	2.49310687914498	0.732	0.151	0.0	protein_coding
Amygdala excitatory neuron	TAFA1	ENSG00000183662	22	2.46212186165478	0.949	0.278	0.0	protein_coding
Amygdala excitatory neuron	CDH9	ENSG00000113100	23	2.45401601057007	0.937	0.303	0.0	protein_coding
Amygdala excitatory neuron	SEMA3D	ENSG00000153993	24	2.44124069443661	0.52	0.106	0.0	protein_coding
Amygdala excitatory neuron	KCNV1	ENSG00000164794	25	2.42386064207114	0.41	0.074	0.0	protein_coding
Amygdala excitatory neuron	CDH22	ENSG00000149654	26	2.40133539646931	0.718	0.167	0.0	protein_coding
Amygdala excitatory neuron	KCTD4	ENSG00000180332	27	2.38987219241945	0.407	0.062	0.0	protein_coding
Amygdala excitatory neuron	C1QL3	ENSG00000165985	28	2.38365885464328	0.356	0.05	0.0	protein_coding
Amygdala excitatory neuron	CCKBR	ENSG00000110148	29	2.35349372311635	0.365	0.067	1.35644608394799e-259	protein_coding
Amygdala excitatory neuron	ADAMTS3	ENSG00000156140	30	2.34710112289872	0.565	0.13	0.0	protein_coding
Amygdala excitatory neuron	CBLN4	ENSG00000054803	31	2.31420089985842	0.477	0.073	0.0	protein_coding
Amygdala excitatory neuron	STYK1	ENSG00000060140	32	2.31058896149872	0.5	0.103	0.0	protein_coding
Amygdala excitatory neuron	CNTN5	ENSG00000149972	33	2.30453155887748	0.995	0.453	0.0	protein_coding
Amygdala excitatory neuron	PWWP3B	ENSG00000157502	34	2.29330156674454	0.374	0.071	3.7167008283428697e-255	protein_coding
Amygdala excitatory neuron	ITPKA	ENSG00000137825	35	2.2840513399917	0.44	0.082	0.0	protein_coding
Amygdala excitatory neuron	TAF7L	ENSG00000102387	36	2.27392787987603	0.32	0.055	3.01383098915927e-242	protein_coding
Amygdala excitatory neuron	NWD2	ENSG00000174145	37	2.27359853855417	0.755	0.188	0.0	protein_coding
Amygdala excitatory neuron	NPTX1	ENSG00000171246	38	2.24193365703351	0.807	0.204	0.0	protein_coding
Amygdala excitatory neuron	ENC1	ENSG00000171617	39	2.23506001621193	0.963	0.361	0.0	protein_coding
Amygdala excitatory neuron	PTH2R	ENSG00000144407	40	2.23330986429979	0.487	0.097	0.0	protein_coding
Amygdala excitatory neuron	MLIP	ENSG00000146147	41	2.23185136979546	0.817	0.205	0.0	protein_coding
Amygdala excitatory neuron	CRACDL	ENSG00000196872	42	2.22174518742689	0.945	0.282	0.0	protein_coding
Amygdala excitatory neuron	MFSD4A	ENSG00000174514	43	2.20407896856585	0.725	0.178	0.0	protein_coding
Amygdala excitatory neuron	SLC22A24	ENSG00000197658	44	2.19283023231625	0.262	0.051	4.0560246674235995e-169	protein_coding
Amygdala excitatory neuron	KCNH7	ENSG00000184611	45	2.14371365823475	0.939	0.386	0.0	protein_coding
Amygdala excitatory neuron	ANKRD18B	ENSG00000230453	46	2.1063901365256	0.442	0.078	0.0	protein_coding
Amygdala excitatory neuron	KCNV2	ENSG00000168263	47	2.07024174937549	0.345	0.072	1.91065139114486e-208	protein_coding
Amygdala excitatory neuron	CNTN3	ENSG00000113805	48	2.0555969575498	0.946	0.372	0.0	protein_coding
Amygdala excitatory neuron	IL1RL2	ENSG00000115598	49	1.99747862088608	0.299	0.073	9.08179456381942e-143	protein_coding
Amygdala excitatory neuron	TDRD5	ENSG00000162782	50	1.99447426431952	0.49	0.118	9.96155933662722e-254	protein_coding
Astrocyte	TNC	ENSG00000041982	1	6.83166747116184	0.536	0.032	0.0	protein_coding
