protein1	protein2	relation
ABCA4	CNGB1	INTERACTS_WITH
ABCA4	EYS	INTERACTS_WITH
ABCA4	RDH12	INTERACTS_WITH
ABCA4	SEMA4A	INTERACTS_WITH
ABCA8	SLC22A8	INTERACTS_WITH
ABCB1	P2RY12	INTERACTS_WITH
ABCC9	EYA4	INTERACTS_WITH
ABCC9	KCNJ8	INTERACTS_WITH
ABCC9	SCN5A	INTERACTS_WITH
ABCG2	ALDH1A1	INTERACTS_WITH
ABCG2	CD44	INTERACTS_WITH
ABCG2	SLC22A8	INTERACTS_WITH
ABCG2	SLC47A1	INTERACTS_WITH
ABCG2	SLC47A2	INTERACTS_WITH
ACKR3	CXCR4	INTERACTS_WITH
ACSBG1	LPL	INTERACTS_WITH
ACTA2	CNN1	INTERACTS_WITH
ACTA2	CNN2	INTERACTS_WITH
ACTA2	COL1A1	INTERACTS_WITH
ACTA2	COL1A2	INTERACTS_WITH
ACTA2	COL3A1	INTERACTS_WITH
ACTA2	LMOD1	INTERACTS_WITH
ACTA2	MYH11	INTERACTS_WITH
ACTA2	MYL9	INTERACTS_WITH
ACTA2	MYLK	INTERACTS_WITH
ACTA2	NOTCH4	INTERACTS_WITH
ACTA2	PDGFRB	INTERACTS_WITH
ACTA2	POSTN	INTERACTS_WITH
ACTA2	TAGLN	INTERACTS_WITH
ACTA2	TPM2	INTERACTS_WITH
ACTA2	VIM	INTERACTS_WITH
ACVRL1	BMPR1B	INTERACTS_WITH
ACVRL1	CDH5	INTERACTS_WITH
ADAM11	LGI4	INTERACTS_WITH
ADAMTS17	FBN2	INTERACTS_WITH
ADAMTS2	CCBE1	INTERACTS_WITH
ADAMTS2	COL1A1	INTERACTS_WITH
ADAMTS2	COL1A2	INTERACTS_WITH
ADAMTS2	COL3A1	INTERACTS_WITH
ADAMTS2	COL5A2	INTERACTS_WITH
ADAMTS3	CCBE1	INTERACTS_WITH
ADAMTS3	COL2A1	INTERACTS_WITH
ADAMTS4	BCAN	INTERACTS_WITH
ADAMTS4	BGN	INTERACTS_WITH
