Gene,Distance,boxcox-transformed distance,Z,FC,p-value,adjusted p-value
AFTPH,9.13866e-07,-12.597515106201172,4.736238777208886,128.56288,8.452642314203762e-30,2.536637958492549e-26
MT-RNR1,7.536094e-07,-12.755005836486816,4.4062646147874425,87.42651,8.74700433573778e-21,1.3124880005774538e-17
MIR99AHG,6.607042e-07,-12.862220764160156,4.181628181303898,67.19928,2.454037573516726e-16,2.4548555860412316e-13
EIF2B3,5.632001e-07,-12.992064476013184,3.909579978932337,48.82879,2.793097952849733e-12,2.0955217391255122e-09
CX3CR1,5.426961e-07,-13.02217960357666,3.84648284314568,45.338165,1.6578677664285322e-11,9.95052233410405e-09
PRKCH,5.12509e-07,-13.068621635437012,3.7491776205686125,40.434635,2.0330496414938306e-10,1.016863662353831e-07
ATXN2,5.037195e-07,-13.08265209197998,3.719781045051059,39.05962,4.110586447213579e-10,1.762267132583993e-07
FKBP5,4.9271284e-07,-13.100564956665039,3.68225005824123,37.371307,9.764819565318616e-10,3.663027939440146e-07
TET2,4.886541e-07,-13.107270240783691,3.668201164653416,36.75815,1.337305081000606e-09,4.459169497869799e-07
CYB5R4,4.883283e-07,-13.107810974121094,3.667068221592075,36.709145,1.3713464922117967e-09,4.115410823127602e-07
MBD5,4.7138224e-07,-13.136432647705078,3.6071001666415032,34.205578,4.9586620765865235e-09,1.3528131719851053e-06
PLCL2,4.1110133e-07,-13.247178077697754,3.375066634016715,26.016462,3.385184690175612e-07,8.465782712680844e-05
RASSF2,4.0059052e-07,-13.268115997314453,3.331197560098289,24.703121,6.687578373901292e-07,0.0001543801746159829
PBX3,3.5262016e-07,-13.371113777160645,3.1153968836116603,19.141008,1.2140808998769661e-05,0.002602469128950554
ATP9B,3.411363e-07,-13.397819519042969,3.059443083705594,17.91457,2.3104555470104525e-05,0.004622451397718912
APOE,3.3011426e-07,-13.424298286437988,3.0039648401462635,16.775639,4.2069951353810597e-05,0.0078907452507991
RUFY3,3.261445e-07,-13.434048652648926,2.983535898595729,16.374596,5.1977238118817043e-05,0.00917551127026882
PPP1R12B,3.0568e-07,-13.486246109008789,2.87417192579786,14.384162,0.00014905070135276776,0.024850064153314224
