Gene,Distance,boxcox-transformed distance,Z,FC,p-value,adjusted p-value
MT-RNR1,8.647141e-07,-11.902877807617188,4.443770186421534,108.66647,1.9202547059595716e-25,5.762684372584675e-22
CYB5R4,7.9329067e-07,-11.964922904968262,4.30299669892136,91.456635,1.1406470045291243e-21,1.711540830295951e-18
CUL3,7.691169e-07,-11.987164497375488,4.252532977138378,85.9677,1.828990504643025e-20,1.8296001681445728e-17
CHASERR,6.6998166e-07,-12.086145401000977,4.027956216134435,65.23435,6.650013985294191e-16,4.989172992466967e-13
AFTPH,6.40465e-07,-12.118393898010254,3.9547879307347467,59.613045,1.1546726231992834e-14,6.930345084442099e-12
B2M,6.362393e-07,-12.123128890991211,3.944044753534999,58.829002,1.719874005554342e-14,8.602236484447634e-12
IER2,6.2790406e-07,-12.132559776306152,3.9226471141939516,57.297688,3.7459540835394636e-14,1.6059440292431327e-11
PRKCH,5.884296e-07,-12.178951263427734,3.8173899430193883,50.319874,1.3061999991819913e-12,4.899882746931445e-10
FMR1,5.339794e-07,-12.248196601867676,3.660279902073476,41.438072,1.216646467377113e-10,4.0568400539985726e-08
TET2,5.2337856e-07,-12.262476921081543,3.62787943170308,39.8091,2.800371576639144e-10,8.403915101494072e-08
CDK13,4.617499e-07,-12.351544380187988,3.4257951836883365,30.9859,2.5990964323204015e-08,7.09080763035775e-06
COG5,4.4777778e-07,-12.373348236083984,3.3763246378035787,29.139063,6.73649543554598e-08,1.6846852335061238e-05
MIR99AHG,4.4033618e-07,-12.385234832763672,3.349355260035673,28.17859,1.1062143630371744e-07,2.5536533103650465e-05
LGMN,4.2875868e-07,-12.404122352600098,3.3065015592419176,26.716305,2.3562486320612875e-07,5.0507872462970884e-05
CARF,3.9060714e-07,-12.470090866088867,3.156826272950252,22.173328,2.491105132734623e-06,0.0004983871002224402
JUN,3.6097052e-07,-12.525834083557129,3.030351056333448,18.93625,1.351598319443764e-05,0.00253509159790671
CMAHP,3.5450938e-07,-12.538578987121582,3.001434274843534,18.264425,1.9226439573512042e-05,0.0033940320682417434
ATXN2,3.4366005e-07,-12.56049919128418,2.9516997475653484,17.163609,3.4294364697990165e-05,0.00571763269214825
BAZ1B,3.4157017e-07,-12.564799308776855,2.941943254918085,16.955492,3.826645845089116e-05,0.006044086411111808
AZIN2,3.390887e-07,-12.569938659667969,2.9302826341870807,16.710028,4.355019593077702e-05,0.006534706899413092
PBX3,3.3804173e-07,-12.572117805480957,2.925338392515092,16.606998,4.59810374475741e-05,0.006570909208579518
RUFY3,3.3546883e-07,-12.57750129699707,2.9131238436142715,16.355162,5.251294719445043e-05,0.007163243387752079
PLCL2,3.259544e-07,-12.597766876220703,2.867143477955736,15.440601,8.513929402597936e-05,0.011108827016172352
AUTS2,3.224765e-07,-12.605319023132324,2.8500084889839736,15.11286,0.00010127107186018523,0.012663103610517328
ATP9B,3.1476557e-07,-12.622350692749023,2.8113655077935835,14.398756,0.00014789998093929808,0.017753913711953343
MBD5,3.1189407e-07,-12.62879753112793,2.7967383420593857,14.137244,0.00016994549350715903,0.019615631769807088
CSNK1G1,3.0680334e-07,-12.64037036895752,2.77048084854097,13.679515,0.00021680660787005613,0.02409765297103846
