Gene,Distance,boxcox-transformed distance,Z,FC,p-value,adjusted p-value
AFTPH,7.6245254e-07,-24.445837020874023,4.299959440473057,90.61776,1.7428894482244236e-21,5.2304112341214955e-18
CYB5R4,5.609703e-07,-25.303768157958984,3.8312376665167363,49.05321,2.4911206806026582e-12,3.737926581244288e-09
MT-RNR1,5.511044e-07,-25.353958129882812,3.803816896179752,47.342964,5.9591630946858965e-12,5.961149482384125e-09
TET2,5.1161066e-07,-25.56499671936035,3.688518152775646,40.80063,1.6857885135096332e-10,1.2647628322606022e-07
ATF6,5.097171e-07,-25.575550079345703,3.682752434060341,40.49917,1.9669974471941807e-10,1.1805918678059473e-07
PTEN,4.303817e-07,-26.06007194519043,3.418038940561298,28.873224,7.727377430581165e-08,3.8649766115290126e-05
CHASERR,3.9098597e-07,-26.3376522064209,3.266385845300903,23.829231,1.052715858567974e-06,0.00045131432736607
MBD5,3.691811e-07,-26.50449562072754,3.175232677236094,21.245481,4.040617654777832e-06,0.0015157366977485342
CREB1,3.6027546e-07,-26.575700759887695,3.136330488354879,20.23285,6.8565401145923614e-06,0.002286275209321297
TRIM22,3.5288136e-07,-26.63627052307129,3.1032388267746827,19.410875,1.0540511909972422e-05,0.003163207624182724
LGMN,3.3652455e-07,-26.775236129760742,3.027316409612259,17.653109,2.650816673617638e-05,0.007231909852296847
HSPA1B,3.330175e-07,-26.80597496032715,3.0105225685105323,17.287088,3.213630769430846e-05,0.008036754949218307
PRKCH,3.2641475e-07,-26.86479949951172,2.9783843919519346,16.60838,4.5947570947239125e-05,0.010606820031743432
IER2,3.1617188e-07,-26.958627700805664,2.9271223278344585,15.582394,7.898666448112986e-05,0.016931355721990764
PLCL2,3.0666806e-07,-27.048646926879883,2.877941257802372,14.65969,0.00012877093121016267,0.025762770970779877
ATP9B,3.0565184e-07,-27.05845069885254,2.8725850687192946,14.562694,0.0001355722237693298,0.02542826522073492
MIR99AHG,3.028298e-07,-27.08585548400879,2.857612748729867,14.295024,0.0001562774530178463,0.027587566853326865
PPP1R12B,2.968774e-07,-27.144567489624023,2.82553605371911,13.738584,0.0002100938684916113,0.03502731663018475
CDK13,2.9578337e-07,-27.15549659729004,2.819565049157625,13.637513,0.0002217108973950967,0.03501865279382554
PEAK1,2.9529565e-07,-27.160383224487305,2.8168952910971496,13.592577,0.00022708168314390753,0.034073606555743326
